"","PARTY","educ","race","Voted_2020","gender","FT_DemParty","FT_RepParty","FT_Biden_pre","FT_Trump_pre","FT_Biden_post","FT_Trump_post","FT_Fauci","FT_fundamentalist","FT_Feminists","FT_Liberals","FT_laborUnions","FT_bigBusiness","FT_conservatives","FT_SCOTUS","FT_gaymen","FT_Congress","FT_Muslims","FT_Christians","FT_Jewish","FT_police","FT_Transpeople","FT_Scientist","FT_BLM","FT_journalists","FT_NATO","FT_UN","FT_NRA","FT_Socialist","FT_capitalist","FT_FBI","FT_ICE","FT_MeToo","FT_rural","FT_Parent","FT_WHO","FT_CDC"
"3719","Republican","Some College","White",TRUE,"Male",0,100,0,100,0,100,40,60,50,0,40,40,85,100,85,15,50,100,85,85,0,85,0,0,50,85,100,0,85,60,85,60,85,0,50,60
"3720","Democrat","Graduate Degree","Black",TRUE,"Female",85,50,70,50,85,50,85,70,70,70,70,70,60,85,60,70,70,85,70,70,60,85,70,70,70,70,60,60,85,70,60,70,70,60,70,85
"3721","Democrat","Graduate Degree","White",TRUE,"Female",70,0,85,0,100,0,85,15,100,100,85,30,30,30,85,70,70,70,70,70,85,100,70,100,100,100,0,85,60,100,15,70,40,100,100,100
"3722","Democrat","Graduate Degree","White",TRUE,"Female",30,30,50,30,40,15,60,50,30,50,NA,0,50,50,60,20,70,70,70,40,60,70,30,15,NA,0,0,15,0,50,0,60,NA,60,15,15
"3723","Republican","Some College","White",TRUE,"Female",0,85,0,85,30,85,40,30,60,15,100,50,20,85,85,60,0,100,50,70,50,85,30,15,50,50,100,NA,NA,85,70,50,60,70,60,15
"3724","Democrat","Bachelor's Degree","White",TRUE,"Female",70,0,85,0,70,0,70,50,100,70,60,50,50,50,100,50,100,100,100,70,100,85,100,50,50,50,50,50,50,50,15,NA,100,100,50,50
"3725","Republican","Some College","White",TRUE,"Female",25,40,40,60,65,70,85,75,65,60,55,70,70,60,55,35,65,95,90,95,45,80,20,70,65,30,55,30,80,70,70,60,85,70,55,65
"3726","Democrat","Some College","Black",TRUE,"Female",60,40,85,30,60,40,85,NA,50,70,40,85,60,50,100,40,100,100,100,100,100,100,50,50,50,70,40,NA,NA,70,40,60,NA,60,100,85
"3727","Independent","High School","Hispanic",TRUE,"Female",85,85,50,100,0,100,50,50,50,50,50,50,50,50,50,70,50,50,50,100,50,100,0,50,NA,NA,NA,NA,NA,100,100,NA,NA,100,NA,100
"3728","Republican","Some College","White",TRUE,"Female",0,60,0,100,0,86,NA,18,18,18,30,50,70,60,60,18,18,86,86,70,50,60,0,18,18,40,86,0,86,18,50,0,86,70,0,50
